id,url,brand,discovered,confidence_level,ip,domain,sld,registrar,registration_date
PEDAS-b2c7b4d0d8c0,https://**************.ac.id/,microsoft,5/18/2021 18:33,100,,**************.ac.id,ac.id,PT Jagoan Hosting Indonesia,9/13/2016
PEDAS-65ffaaf169cb,http://hadiah-2juta-untuk-anda.***.my.id/,Generic/Spear Phishing,3/25/2024 10:18,100,,***.my.id,my.id,PT Registrasi Neva Angkasa,8/5/2025
PEDAS-648956545e5e,https://bagi-hadiah-danaxid.****.biz.id/,DANA,6/8/2024 6:52,100,,****.biz.id,biz.id,PT Registrasi Nama Domain,6/14/2026
PEDAS-2e5bd2f72555,https://barambai.**************.go.id/setiap-saat/,-,8/4/2024 8:09,100,104.21.66.177,**************.go.id,go.id,Kementerian Komunikasi dan Informatika,11/21/2008
PEDAS-c6e3fd1147be,https://************.my.id/wp-content/themes/enternews/assets/magnific-popup,,6/17/2024 7:04,100,172.67.147.243,************.my.id,my.id,PT Cloud Hosting Indonesia,2/17/2023
PEDAS-16cf62d32f57,http://dal.****************.sch.id/3970470437,,1/24/2024 20:56,100,103.146.203.49,****************.sch.id,sch.id,PT Cloud Hosting Indonesia,5/18/2020
PEDAS-b879f3e9a553,https://sipp.*****************.go.id/system/core/apk/?ongoogle=bursa138,-,8/3/2024 5:10,100,103.217.209.85,*****************.go.id,go.id,Kementerian Komunikasi dan Informatika,11/9/2009
PEDAS-acb1f60add3f,https://********.id/review-slot-gacor-totem-wonders-dari-pg-soft/,-,8/4/2024 5:10,100,151.80.213.214,********.id,id,PT Jagat Informasi Solusi (int),1/6/2026
PEDAS-e865fe09cbdc,https://go.*****.id/hPcnF,,3/25/2024 17:03,100,172.67.209.78,*****.id,id,PT Registrasi Nama Domain,7/24/2021
PEDAS-c1c867aa24ec,******.id,,8/2/2024 4:00,100,162.215.118.39,******.id,id,PT Jagat Informasi Solusi (int),5/8/2020
PEDAS-225f836cd49d,https://monev-dak.****************.go.id/upload/linux/dataGAS272a/,-,8/3/2024 3:03,100,,****************.go.id,go.id,Kementerian Komunikasi dan Informatika,9/15/2007
PEDAS-1b6ba77227df,https://perpusda.****************.go.id/inlislite3/keanggotaan/?tunnel=xxtoto,judi online,8/6/2024 0:02,100,103.18.117.167,****************.go.id,go.id,Kementerian Komunikasi dan Informatika,7/8/2011
PEDAS-7c220a2248ff,https://e-monevpupr.*********.go.id/.well-known/acme-challenge/?panel=judi-bola88-online,-,8/4/2024 13:39,100,103.148.45.194,*********.go.id,go.id,Kementerian Komunikasi dan Informatika,4/27/2006
PEDAS-2d0972c04887,https://sipp.***********.go.id/data/docs/temp/?infus=doge88,-,8/3/2024 16:29,100,103.55.39.38,***********.go.id,go.id,Kementerian Komunikasi dan Informatika,12/2/2009
PEDAS-ce5c6a1fa605,https://perpusda.****************.go.id/inlislite3/keanggotaan/?tunnel=jinslot,judi online,8/6/2024 0:05,100,103.18.117.167,****************.go.id,go.id,Kementerian Komunikasi dan Informatika,7/8/2011
PEDAS-b5f048a8ff06,http://eventt-ramadhan-freefire.*****.biz.id/,Garena,3/18/2024 1:46,100,104.21.65.102,*****.biz.id,biz.id,PT JC Indonesia,8/22/2025
PEDAS-fedf3baf6422,https://***.ponpes.id/?link=situs+slot+online+deposit+10+ribu,-,8/2/2024 23:16,100,,***.ponpes.id,ponpes.id,PT Registrasi Neva Angkasa,6/5/2024
PEDAS-4d3bc18cf379,https://sidamulya-wanareja.**********.go.id/wp-includes/get/?cartel=arena888,-,8/4/2024 11:49,100,104.26.8.176,**********.go.id,go.id,Kementerian Komunikasi dan Informatika,10/12/2005
PEDAS-1d33009d6aa2,http://*********.go.id/website/?link=JUDI%20ONLINE%20TERBAIK,judi online,8/6/2024 7:58,100,156.67.209.110,*********.go.id,go.id,Kementerian Komunikasi dan Informatika,3/1/2013
PEDAS-df71fcf65ea5,https://********.id/seduniatoto-diluncurkan-kemudahan-akses-judi-online/,-,8/4/2024 7:07,100,45.63.0.187,********.id,id,PT Jagat Informasi Solusi (int),1/6/2026
PEDAS-1e425f81cab8,https://***************.go.id/berita/berita-terkini/2-uncategorised/934-pengadilan-tinggi-palangkaraya-mengikuti-pembinaan-bidang-teknis-dan-administrasi-yudisial-secara-virtual,judi online,8/6/2024 11:20,100,103.102.0.117,***************.go.id,go.id,Kementerian Komunikasi dan Informatika,10/17/2012
PEDAS-713364433aed,https://sipp.***************.go.id/search/MldURG5aQnpHYXhQL3IzZ2lEZjNTcURYL2k0cEFwbVN2bWpzbkxrSkdtM0tzdXdmNVUycmhXSXo3WkgwUUxycGptNndNN2VzYXpFV056NFV4b3dobXc9PQ==,-,8/4/2024 23:37,100,172.96.191.125,***************.go.id,go.id,Kementerian Komunikasi dan Informatika,9/2/2013
PEDAS-9a0d3f5d6784,http://generatorfreeaccounts.********.co.id/,Tencent,6/20/2024 6:49,100,142.251.10.191,********.co.id,co.id,PT Digital Registra Indonesia,10/15/2007
PEDAS-2820f7121fe2,https://data.************.go.id/sv/user/activity/p4ecgqu82i,-,8/4/2024 17:09,100,114.6.246.235,************.go.id,go.id,Kementerian Komunikasi dan Informatika,10/17/2011
PEDAS-058df19100fa,https://disparpora.**************.go.id/?cuan=SLOT-GACOR-GAMPANG-JACKPOT-MALAM-INI,judi online,8/5/2024 9:28,100,103.179.89.100,**************.go.id,go.id,Kementerian Komunikasi dan Informatika,7/14/2008
PEDAS-cc634bd40cb3,https://hk0-nwl.***.my.id/,WhatsApp,3/24/2024 9:48,100,,***.my.id,my.id,PT Registrasi Neva Angkasa,5/2/2026
PEDAS-040189ab04d0,https://berita.**************.go.id/berita/read/pengumuman-hasil-seleksi-administrasi-pasca-sanggah-calon-pppk-untuk-jabatan-fungsional-tenaga-kesehatan-di-lingkungan-pemkab-barito-utara-tahun-anggaran-2023,-,8/4/2024 8:24,100,103.247.8.48,**************.go.id,go.id,Kementerian Komunikasi dan Informatika,5/16/2006
PEDAS-7495bc0f52ee,********.id,,8/2/2024 4:00,100,104.21.66.119,********.id,id,PT Jagat Informasi Solusi (int),12/25/2023
PEDAS-2045d7467df8,https://www.*************.go.id/Rapat-Koordinasi-dan-Silaturahim-Ramadhan-bersama-Kepala-Desa-Kelurahan-se-Kabupaten-Bojonegoro-Tahun-1445-H,-,8/3/2024 14:33,100,84.32.84.109,*************.go.id,go.id,Kementerian Komunikasi dan Informatika,1/25/2011
PEDAS-9c0daca6d3db,https://baitulmal.************.go.id/?MENYALAABANGKUH=slot+top+up+10+ribu,judi online,8/5/2024 9:43,100,123.108.101.18,************.go.id,go.id,Kementerian Komunikasi dan Informatika,3/5/2008
PEDAS-41b8be6e10d5,https://***********.desa.id/valdi/?shop=mahjong-scatter-hunter-slot-demo-situs-judi-online-slot-gacor,-,8/2/2024 13:27,100,84.247.151.111,***********.desa.id,desa.id,Kementerian Komunikasi dan Informatika,9/4/2020
PEDAS-5e31a2aad74c,https://****************.id/leading-advantages-of-playing-on-the-internet-slots/,-,8/4/2024 6:23,100,172.67.192.103,****************.id,id,PT Jagat Informasi Solusi (int),5/10/2025
PEDAS-4d053c2a267a,https://bpkad.********.go.id/data/temp/docs/?IGD=mpo80,-,8/4/2024 11:24,100,45.64.96.108,********.go.id,go.id,Kementerian Komunikasi dan Informatika,11/17/2006
PEDAS-b258995b3892,https://www.******.co.id/professionals/9123791/lexus-mpo-slot-gacor-pulsa,-,8/3/2024 0:17,100,52.212.127.139,******.co.id,co.id,PT Jagat Informasi Solusi (int),2/25/2016
PEDAS-a087827d2492,https://*************.go.id/index.php/component/k2/item/1-make-that-idea-your-life?start=89260,-,8/3/2024 16:59,100,45.126.43.11,*************.go.id,go.id,Kementerian Komunikasi dan Informatika,10/24/2011
PEDAS-2546cf5aa92e,https://**********.id/dmca/,-,8/4/2024 23:32,100,172.67.181.29,**********.id,id,PT Jagat Informasi Solusi (int),12/29/2025
PEDAS-49671b96c2e0,https://fasya.***************.ac.id/wp-content/uploads/web/?vini=slot+gacor,-,8/4/2024 4:28,100,103.189.49.55,***************.ac.id,ac.id,PT Jetcoms Netindo,10/23/2017
PEDAS-fab1cfe0081b,https://kraftonpubgmobilegift.***.biz.id/,Facebook,3/6/2024 9:54,100,,***.biz.id,biz.id,PT Registrasi Neva Angkasa,5/26/2025
PEDAS-fbc54dfdb322,https://freespiinetrr8o1mx0.****.biz.id/,Garena,1/23/2024 9:11,100,172.67.177.102,****.biz.id,biz.id,PT JC Indonesia,8/20/2026
PEDAS-c034693b4bf8,https://www.******.co.id/photo/4479077/horse89-link-daftar-situs-judi-slot-online-gacor-gampang-maxwin,-,8/3/2024 0:11,100,52.214.240.250,******.co.id,co.id,PT Jagat Informasi Solusi (int),2/25/2016
PEDAS-419e267c1088,https://*******************.id/index_tmp/2/verification-proccess/proccessing/ed0rk40opxir1kpsfzcp4jo8.php?1160b9166786961602c1db3471437789d2e2dd10f1c700dd02c1db3471437789d2e2dd10f1c700dd02c1db3471437789d2e2dd10f1c700dd02c1db3471437789d2e2dd10f1c700dd02c1db3471437789d2e2dd10f1c700dd&Official=&AdnanSami,Wells Fargo,11/8/2022 1:07,90,,*******************.id,id,PT Digital Registra Indonesia,6/27/2019
PEDAS-df006621cbb6,https://www.sipp311.***********.go.id/?manyao=main%20judi%20slot%20online,-,8/5/2024 5:23,100,103.180.162.165,***********.go.id,go.id,Kementerian Komunikasi dan Informatika,6/16/2010
PEDAS-761d58344ba7,http://perpus-ft.***.ac.id/index.php?p=show_detail&id=833,-,8/3/2024 3:34,100,139.99.90.119,***.ac.id,ac.id,PT JC Indonesia,11/23/2012
PEDAS-8046565b68dc,http://www.pangkalpinang.************.go.id/.well-known/pki-validation/PDN/code/?games=judi+poker+online,judi online,8/5/2024 15:37,100,45.64.98.218,************.go.id,go.id,Kementerian Komunikasi dan Informatika,5/10/2000
PEDAS-fbdefa202e23,https://sidamulya-wanareja.**********.go.id/wp-includes/get/?cartel=akun+gacor,-,8/4/2024 11:36,100,104.26.8.176,**********.go.id,go.id,Kementerian Komunikasi dan Informatika,10/12/2005
PEDAS-1af5dac2001a,https://*************.id/rahasia-slot-paling-gacor-tips-dan-trik-untuk-menang-besar/,-,8/4/2024 22:20,100,172.67.170.138,*************.id,id,PT Jagat Informasi Solusi (int),9/14/2023
PEDAS-01ba016489b2,http://*******.id/doc/O/step2.php?fid.1252899642528194560278553343inboxlighwsd5dfgsgfgyuiokjlt996123212342_product-userid&fid.13inboxlight.aspxn.1774256418&l=_jehdcxzfuq_vjoxk0qwhtoersdfgydw17742523456676546418&userid,Microsoft,1/7/2022 2:28,90,103.19.108.13,*******.id,id,PT JC Indonesia,6/13/2014
PEDAS-9271f52d1d6a,https://****************.id/,-,8/3/2024 0:01,100,162.254.39.21,****************.id,id,PT Jagat Informasi Solusi (int),7/14/2024
PEDAS-236e909eeafa,https://************.id/2024/,-,8/4/2024 4:15,100,172.67.187.86,************.id,id,PT Jagat Informasi Solusi (int),6/1/2024
PEDAS-0728c9879ecb,https://www.******.co.id/professionals/dek-patio-spektrum-luar-ruangan-in-denpasar-kota-denpasar-bali,-,8/3/2024 1:49,100,52.212.127.139,******.co.id,co.id,PT Jagat Informasi Solusi (int),2/25/2016
PEDAS-24764d35fd5c,https://**************.co.id/assets/css/en/ap/,,4/29/2024 7:44,100,174.127.69.31,**************.co.id,co.id,PT Digital Registra Indonesia,5/19/2010
PEDAS-9572d83aded4,https://geoportal.****************.go.id/files/?geomaps=judi-online24jam-deposit-pulsa-indosat,judi online,8/5/2024 13:17,100,172.67.207.148,****************.go.id,go.id,Kementerian Komunikasi dan Informatika,5/17/2006
PEDAS-70d54dc9b75b,http://curahdami.************.go.id/assets/portgas/?running=SITUS%20JUDI%20BOLA%20ONLINE,-,8/3/2024 3:39,100,103.161.108.32,************.go.id,go.id,Kementerian Komunikasi dan Informatika,12/18/2007
PEDAS-c7bbfdc36925,https://dkukm.*********.go.id/vina/?cirebon=SLOT88RESMI,judi online,8/5/2024 17:17,100,103.115.19.17,*********.go.id,go.id,Kementerian Komunikasi dan Informatika,4/27/2007
PEDAS-53192895dc89,https://***************.id/tag/slot-gacor-777/,-,8/4/2024 22:43,100,172.67.167.192,***************.id,id,PT Jagat Informasi Solusi (int),9/14/2023
PEDAS-c2c194987ece,http://pemulihan-akun-danaa.******.my.id/,DANA,1/4/2024 1:57,100,172.67.146.225,******.my.id,my.id,PT Registrasi Neva Angkasa,5/5/2025
PEDAS-112bd496ae25,http://********.id,,1/17/2024 19:50,100,162.213.251.165,********.id,id,PT Jagat Informasi Solusi (int),8/22/2023
PEDAS-faa9721111bf,https://sisumakerpublik.********************.go.id/public/svg/?google=milan99,-,8/4/2024 6:21,100,103.113.3.225,********************.go.id,go.id,Kementerian Komunikasi dan Informatika,7/28/2009
PEDAS-e29caed7cd8b,http://bjn2fiz5f8.*****.or.id,,5/9/2024 0:00,100,203.175.9.110,*****.or.id,or.id,PT Digital Registra Indonesia,11/26/2004
PEDAS-fba58ef34a65,https://*******.id/perbatasan-digital-fenomena-kasino-online/,-,8/4/2024 8:15,100,172.67.166.192,*******.id,id,PT Jagat Informasi Solusi (int),7/31/2025
PEDAS-8d72891fcf07,https://****************.go.id/turbo-x500-daftar-4d-login/,-,8/3/2024 12:06,100,109.123.235.48,****************.go.id,go.id,Kementerian Komunikasi dan Informatika,7/9/2010
PEDAS-e17791613d84,https://disparpora.**************.go.id/?cuan=POLA-GACOR-SLOT-PRINCES,judi online,8/5/2024 9:11,100,103.179.89.100,**************.go.id,go.id,Kementerian Komunikasi dan Informatika,7/14/2008
PEDAS-558b437328d6,http://www.pangkalpinang.************.go.id/.well-known/pki-validation/PDN/code/?games=tokecash.com+agen+judi+bola+poker+dan+live+casino+online+terpercaya,judi online,8/5/2024 15:28,100,45.64.98.218,************.go.id,go.id,Kementerian Komunikasi dan Informatika,5/10/2000
PEDAS-58e1a818a043,https://desk-form.*******.id/test/1-24/24.php,Other,4/16/2024 21:10,100,103.219.251.244,*******.id,id,PT JC Indonesia,8/11/2022
PEDAS-5bf4da2db2b9,https://*********.go.id/spt2024/?terbang=NAMA%20JUDI%20SLOT%20ONLINE,-,8/4/2024 0:04,100,153.92.9.38,*********.go.id,go.id,Kementerian Komunikasi dan Informatika,12/6/2009
PEDAS-08099054fd7e,https://www.trial.sehati.*************.id/vendor/hmrcdocsigns/,,3/5/2022 23:21,100,113.20.30.122,*************.id,id,PT Digital Registra Indonesia,4/13/2020
PEDAS-5db4fcf1208e,https://bappeda.**********.go.id/e-koor/storage/nenen/?listing=GAME+ONLINE+SLOT+DANA,-,8/4/2024 16:09,100,103.170.105.197,**********.go.id,go.id,Kementerian Komunikasi dan Informatika,1/13/2012
PEDAS-b134a359c703,https://******.id/edGaqBB,AT&T,4/24/2023 22:25,100,54.37.79.95,******.id,id,PT Jagat Informasi Solusi (int),4/6/2015
PEDAS-72dafaacb292,https://pemblokiranakunb3srp8y.****.biz.id/login,"Facebook, Inc.",3/27/2024 15:42,100,104.21.43.87,****.biz.id,biz.id,PT JC Indonesia,8/20/2026
PEDAS-4ff6b3a5ecc0,http://singapore01233.***********.my.id/,Telegram,5/30/2024 16:27,100,,***********.my.id,my.id,PT Web Media Technology Indonesia,5/14/2026
PEDAS-8088d5593f88,https://panitera.***********.go.id/cuaks/?cr2=wwwbola,judi online,8/5/2024 21:07,100,103.251.44.248,***********.go.id,go.id,Kementerian Komunikasi dan Informatika,2/25/2009
PEDAS-d8ecb862da13,https://baitulmal.************.go.id/?MENYALAABANGKUH=akun+pro,judi online,8/5/2024 9:52,100,123.108.101.18,************.go.id,go.id,Kementerian Komunikasi dan Informatika,3/5/2008
PEDAS-7dcb5dcd1a05,https://kejari-nganjuk.*********.go.id/category/perkara/intel/,judi online,8/5/2024 19:12,100,202.157.188.107,*********.go.id,go.id,Kementerian Komunikasi dan Informatika,5/10/2000
PEDAS-c91ecb6cc66e,https://bppkad.****************.go.id/products/dara88/,-,8/3/2024 13:20,100,103.142.21.17,****************.go.id,go.id,Kementerian Komunikasi dan Informatika,9/3/2010
PEDAS-c57c44a5a870,https://1ojo.******.ac.id/,-,8/3/2024 11:55,100,172.67.132.5,******.ac.id,ac.id,PT Jagoan Hosting Indonesia,3/24/2024
PEDAS-ce421ce88df3,https://**********.id/?shop=akun-gacor-maxwin-daftar-situs-judi-slot-online-terbaik,-,8/2/2024 13:52,100,74.50.66.174,**********.id,id,PT Jagat Informasi Solusi (int),11/17/2025
PEDAS-9c1626393b73,https://antimerahkroco.***.biz.id/index.php,WhatsApp,3/6/2024 8:52,100,,***.biz.id,biz.id,PT Registrasi Neva Angkasa,5/26/2025
PEDAS-0c2e964c4908,https://*****************.id/gencar-razia-hp-irjen-karyoto-siap-sanksi-anak-buah-terlibat-judi-online-hidup-bukan-gaming-tapi-kerja-keras/,-,8/4/2024 8:54,100,172.67.190.245,*****************.id,id,PT Web Media Technology Indonesia,5/10/2025
PEDAS-502337e0d33f,https://*********.go.id/spt2024/?terbang=game+judi+tembak+ikan,-,8/4/2024 0:09,100,153.92.9.38,*********.go.id,go.id,Kementerian Komunikasi dan Informatika,12/6/2009
PEDAS-fd11b28032b9,https://sipp.*********.go.id/database/?link=SITUS+JUDI+SLOT+TERBAIK,-,8/4/2024 22:12,100,109.106.253.6,*********.go.id,go.id,Kementerian Komunikasi dan Informatika,6/1/2012
PEDAS-3577dee8816e,https://***********.sch.id/wp-content/news/?slot=main-akun-demo-slot-sweet-bonanza,-,8/3/2024 13:56,100,104.21.58.96,***********.sch.id,sch.id,PT Digital Registra Indonesia,1/27/2026
PEDAS-ec1585f5902b,https://****************.id/hello-world/,-,8/4/2024 6:24,100,104.21.81.251,****************.id,id,PT Jagat Informasi Solusi (int),5/10/2025
PEDAS-512a20527be4,https://bandung.***.go.id/index.php?r=post/read&id=275,-,8/4/2024 20:11,100,103.154.81.154,***.go.id,go.id,Kementerian Komunikasi dan Informatika,5/10/2000
PEDAS-cd57e744f079,https://*******.id/attsupt,AT&T,1/24/2024 21:44,100,216.239.34.21,*******.id,id,PT Jagat Informasi Solusi (int),4/26/2021
PEDAS-20a50984e228,https://login-web.*****.id/wordpress/BRI/4/buka_blokir.html,Bank BRI,8/18/2023 8:43,100,103.123.62.41,*****.id,id,PT Cloud Hosting Indonesia,3/4/2019
PEDAS-fddb797ca650,https://sib.jadwal.***************.go.id/s-thailand/?seloto=situs+judi+slot+online+gampang+menang,-,8/3/2024 14:55,100,103.16.198.154,***************.go.id,go.id,Kementerian Komunikasi dan Informatika,11/8/2010
PEDAS-df4d9248949f,https://********************.id/category/uncategorized/,-,8/4/2024 6:46,100,104.21.86.9,********************.id,id,PT Jagat Informasi Solusi (int),5/10/2025
PEDAS-0a7e84f8e2b0,https://bandung.***.go.id/index.php?r=post/read&id=856,-,8/4/2024 20:06,100,103.154.81.154,***.go.id,go.id,Kementerian Komunikasi dan Informatika,5/10/2000
PEDAS-49bf50d375ed,***********.biz.id,,10/5/2022 0:00,100,,***********.biz.id,biz.id,PT Biznet Gio Nusantara,9/30/2022
PEDAS-1e166c3d0765,https://******************.go.id/?page_id=9614,judi online,8/5/2024 15:02,100,154.29.78.27,******************.go.id,go.id,Kementerian Komunikasi dan Informatika,1/25/2010
PEDAS-1d6d6dc153fa,https://dpmptsp.*********.go.id/petapotensi/database/stores/?slot=gbo303+login,judi online,8/5/2024 20:46,100,103.162.68.84,*********.go.id,go.id,Kementerian Komunikasi dan Informatika,5/11/2009
PEDAS-cbd534c38e8d,https://lampung.*******.go.id/berita/detail/buka-workshop-penyusunan-naskah-soal-am-mi-maryan-berpesan-jangan-mengandung-unsur-sara-dan-bertentangan-dengan-pancasila-dan-uud-1945,-,8/3/2024 9:49,100,103.7.13.247,*******.go.id,go.id,Kementerian Komunikasi dan Informatika,5/17/2010
PEDAS-6d6b753f3d09,https://dkukm.*********.go.id/vina/?cirebon=OK-TOGEL,judi online,8/5/2024 17:13,100,103.115.19.17,*********.go.id,go.id,Kementerian Komunikasi dan Informatika,4/27/2007
PEDAS-102b5eb27ea9,https://lucah017.***********.my.id/,Telegram,5/6/2024 19:59,100,,***********.my.id,my.id,PT Web Media Technology Indonesia,5/14/2026
PEDAS-145fd04057b5,http://garter.*********.biz.id/,Tencent,3/29/2024 6:51,100,104.21.55.161,*********.biz.id,biz.id,PT Dewabisnis Digital Indonesia,7/18/2026
PEDAS-6991841f9344,https://sib.jadwal.***************.go.id/s-thailand/?seloto=judi+online+kamboja,-,8/3/2024 14:57,100,103.16.198.154,***************.go.id,go.id,Kementerian Komunikasi dan Informatika,11/8/2010
PEDAS-56f780107201,https://sikap.*******.go.id/,-,8/3/2024 2:35,100,103.253.213.49,*******.go.id,go.id,Kementerian Komunikasi dan Informatika,4/28/2006
PEDAS-8e0c47e203ab,http://help925685.*********.biz.id/comunitystandards/checkpoint.php?section_id=13-HowToContactMeta,Facebook,4/28/2024 11:33,100,,*********.biz.id,biz.id,PT Registrasi Nama Domain,11/30/2025
PEDAS-5c11426b8a1d,http://www.*************.go.id/2015-06-06-01-33-01/pemeriksaan-perkara-pidana-acara-singkat.html,judi online,8/6/2024 8:40,100,104.21.36.254,*************.go.id,go.id,Kementerian Komunikasi dan Informatika,8/28/2009
PEDAS-f696c98c25ae,http://global-shop.*****.biz.id/,Tencent,3/20/2024 14:17,100,,*****.biz.id,biz.id,PT Cloud Hosting Indonesia,10/28/2025
PEDAS-c5d44024842f,http://thp.****.ac.id/tag/detail/wisata,-,8/3/2024 7:14,100,45.13.133.223,****.ac.id,ac.id,PT Web Commerce Communications,3/14/2022
PEDAS-e6d60f818592,**********************.id,,8/2/2024 4:00,100,104.21.74.105,**********************.id,id,PT Jagat Informasi Solusi (int),6/10/2021
PEDAS-04114ad83cdf,https://sipp.*****************.go.id/system/core/apk/?ongoogle=semarslot,-,8/3/2024 4:55,100,103.217.209.85,*****************.go.id,go.id,Kementerian Komunikasi dan Informatika,11/9/2009
PEDAS-9f8b2dc7c096,*********.id,,8/2/2024 4:00,100,104.21.9.154,*********.id,id,PT Jagat Informasi Solusi (int),12/26/2023
PEDAS-b3e48cb8aa93,https://rsud.************.go.id/admin/?search=situs-judi-slot,-,8/4/2024 11:00,100,172.67.184.153,************.go.id,go.id,Kementerian Komunikasi dan Informatika,7/14/2008
PEDAS-73cae49acb0e,http://mhslydivavplvlnjqar.com%C3%83%C2%A2%C3%82%C2%88%C3%82%C2%95mhslydivavplvlnjqar%C3%83%C2%A2%C3%82%C2%88%C3%82%C2%95pjLqBBMvXNHinIEAzQvI%C3%83%C2%A2%C3%82%C2%88%C3%82%C2%95QXSJOXrqxmfhx@elearning.*******.sch.id/__statics/gudangsoal/files,,8/4/2024 6:51,100,45.143.81.230,*******.sch.id,sch.id,PT Digital Registra Indonesia,1/12/2019
PEDAS-24b82e3563f9,http://groupviral.**********.my.id/index.php,WhatsApp,3/27/2024 16:54,100,143.198.85.230,**********.my.id,my.id,PT JC Indonesia,8/14/2026
PEDAS-bb7a948169ec,https://****************.go.id/slotmaxwins1986/?shop=apk-maxwin,-,8/3/2024 12:15,100,109.123.235.48,****************.go.id,go.id,Kementerian Komunikasi dan Informatika,7/9/2010
PEDAS-b964ccb81dfd,https://www.**********.co.id/job-search/coin-dozer-casino/,-,8/2/2024 12:45,100,23.20.41.13,**********.co.id,co.id,PT Jagat Informasi Solusi (int),7/14/2010
