url,brand,discovered,confidence_level,ip,domain,sld,category,registrar,registration_date
https://dkukm.*********.go.id/vina/?cirebon=VIPGACOR,judi online,8/5/2024 17:24,100,103.115.19.17,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,4/27/2007
https://*********.id/2024/06/,judi online,8/6/2024 7:04,100,84.32.84.180,*********.id,id,online gambling,PT Jagat Informasi Solusi (int),1/6/2026
http://paypal.comnewyear.verification.*****.id/,paypal,2/3/2022 0:26,50,148.163.71.201,*****.id,id,phishing,PT Registrasi Nama Domain,10/26/2022
https://dnaalldd.*****.biz.id/,DANA,6/27/2024 18:46,100,,*****.biz.id,biz.id,phishing,PT Registrasi Nama Domain,10/2/2025
https://amp.**********.sch.id/spbo/cuan/,-,7/10/2024 7:08,100,172.67.185.247,**********.sch.id,sch.id,online gambling,PT Digital Registra Indonesia,11/3/2015
https://ddageetz5.****.biz.id/,DANA,3/29/2024 7:54,100,104.21.30.107,****.biz.id,biz.id,phishing,PT JC Indonesia,2/16/2026
https://puskesmas-masaran1.*********.go.id/img/xgacor/?cuanbos=DEPO%2025%20TO%20KECIL,-,8/4/2024 3:41,100,103.172.109.10,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,12/15/2006
https://admin.*************.co.id/uploads/757899490/fbck.php/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm/uploads/757899490/2fa.htm,Facebook,4/23/2024 19:39,100,203.175.9.149,*************.co.id,co.id,phishing,PT Digital Registra Indonesia,7/14/2021
https://website-bantuandana.******************.biz.id/,DANA,4/10/2024 16:16,100,,******************.biz.id,biz.id,phishing,PT JC Indonesia,2/18/2026
https://**************.desa.id/wp-content/news/?slot=akun-pro-taiwan-situs-slot,-,7/10/2024 7:09,100,185.142.239.154,**************.desa.id,desa.id,online gambling,Kementerian Komunikasi dan Informatika,8/11/2023
https://99t6.******.ac.id/qq1221/bo-177-akun-slot-pro-thailand,-,8/3/2024 11:52,100,104.21.4.112,******.ac.id,ac.id,online gambling,PT Jagoan Hosting Indonesia,3/24/2024
https://*********.go.id/spt2024/?terbang=bandar+judi+online+terpercaya,-,8/4/2024 0:05,100,153.92.9.38,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,12/6/2009
https://dkupp.***********.go.id/wp-content/uploads/2024/lalisa/?pdns=bokep%20dude,-,8/4/2024 2:46,100,103.79.244.89,***********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,7/21/2006
https://ppid.sipsipmas.*************.go.id/adminn/file/?index=SLOT+SERVER+THAILAND+GACOR+HARI+INI,-,8/3/2024 7:49,100,103.100.246.4,*************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,8/13/2008
https://****.sch.id/xcc/,,2/9/2024 13:36,100,103.163.138.27,****.sch.id,sch.id,malware,PT Jagoan Hosting Indonesia,9/5/2021
https://simpeg.*************.go.id/biodata/ads/?sniper=dua77,-,7/10/2024 7:26,100,104.21.95.254,*************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,7/20/2006
http://ambildaget150.******.biz.id/,Generic/Spear Phishing,2/7/2024 12:49,100,,******.biz.id,biz.id,phishing,PT JC Indonesia,6/9/2025
https://perpusda.****************.go.id/inlislite3/keanggotaan/?tunnel=buaya77,judi online,8/6/2024 0:04,100,103.18.117.167,****************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,7/8/2011
https://dpmptsp.*********.go.id/petapotensi/database/stores/?slot=ketua+77,judi online,8/5/2024 20:42,100,103.162.68.84,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/11/2009
https://e-monevpupr.*********.go.id/.well-known/acme-challenge/?panel=protogel-slot-login-link-alternatif,-,8/4/2024 13:53,100,103.148.45.194,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,4/27/2006
https://berita.**************.go.id/berita/read/bupati-barito-utara-peringati-hari-jadi-ke71-kabupaten-barito-utara-secara-langsung-dan-virtual,-,8/4/2024 8:25,100,103.247.8.48,**************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/16/2006
https://sipp.*****************.go.id/system/core/apk/?ongoogle=partner77,-,8/3/2024 5:08,100,103.217.209.85,*****************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,11/9/2009
https://jdih.*********.go.id/main/?web=vioslot,Google Inc.,2/4/2024 6:23,100,103.77.207.118,*********.go.id,go.id,phishing,Kementerian Komunikasi dan Informatika,6/12/2013
https://panitera.***********.go.id/cuaks/?cr2=rtp+tangan+judi,judi online,8/5/2024 21:01,100,103.251.44.248,***********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,2/25/2009
http://puskesmassungaigeringging.*****************.go.id/wp-includes/Requests/Cookie/const/?slot=MPO666+daftar,judi online,8/6/2024 5:14,100,103.94.3.125,*****************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,1/16/2006
https://*************.go.id/Raja/?link=POLA777+POKER+AKUN+PRO+IDNSLOT,-,8/4/2024 0:31,100,,*************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,6/4/2009
https://dbs.***.my.id/,DBS Bank Ltd,7/16/2024 17:31,100,104.21.74.247,***.my.id,my.id,phishing,PT JC Indonesia,5/8/2026
https://*************.ponpes.id/SITUS-GACOR-WD-6/index.html,-,8/2/2024 9:52,100,216.239.38.21,*************.ponpes.id,ponpes.id,online gambling,PT Digital Registra Indonesia,4/23/2021
https://********.go.id/bupati-barru-hadiri-rakor-percepatan-vaksinasi-covid-19/,judi online,8/5/2024 13:36,100,172.67.168.100,********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,2/14/2011
https://bimatarung.***********.go.id/,-,8/4/2024 4:02,100,113.20.30.104,***********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,4/29/2011
https://*******.id/twcspctrm,Other,3/11/2024 22:43,100,216.239.36.21,*******.id,id,phishing,PT Jagat Informasi Solusi (int),4/26/2021
https://berita.**************.go.id/berita/read/pemkab-barut-gelar-rakor-optimalisasi-lahan-rawa-pompanisasi-dan-pertambahan-areal-tanam-pat-padi-kabupaten-barito-utara-tahun-2024,-,8/4/2024 8:20,100,103.247.8.48,**************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/16/2006
https://bandung.***.go.id/index.php?r=video/detail&id=18,-,8/4/2024 19:53,100,103.154.81.154,***.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/10/2000
http://danax-indonesiaa.******.my.id/,DANA,3/3/2024 13:35,100,104.21.57.156,******.my.id,my.id,phishing,PT Registrasi Neva Angkasa,5/5/2025
http://bxpygwk-nsk.***.biz.id,Other,3/2/2024 21:28,100,,***.biz.id,biz.id,phishing,PT Registrasi Nama Domain,6/17/2026
https://tamban.**************.go.id/sejarah/,-,8/4/2024 8:07,100,104.21.66.177,**************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,11/21/2008
https://******************.go.id/wp-content/uploads/2022/09/Rensid-Agustus.pdf/?paged=17,judi online,8/5/2024 14:56,100,154.29.78.27,******************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,1/25/2010
http://web.organisasi.**************.go.id/link/?web=dukun%20gacor%20slot,-,8/2/2024 23:54,100,103.146.203.123,**************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/10/2000
https://******.my.id/10/,Facebook,5/6/2024 14:38,100,,******.my.id,my.id,phishing,PT Registrasi Neva Angkasa,6/7/2025
http://codaapaymn-xpcy1mp.****.biz.id/vhsfhqpdhdsih6/,Coda Payments,3/18/2024 23:30,100,104.21.43.87,****.biz.id,biz.id,phishing,PT JC Indonesia,8/20/2026
http://*********.go.id/website/?link=GACOR%20899,judi online,8/6/2024 7:56,100,156.67.209.110,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,3/1/2013
http://pemblokiranyyscvzd.***.my.id,Other,3/5/2024 22:21,100,172.67.182.245,***.my.id,my.id,phishing,PT Registrasi Neva Angkasa,5/2/2026
https://satbrimob.kalbar.*****.go.id/,-,3/22/2024 23:02,100,120.29.231.201,*****.go.id,go.id,phishing,Kementerian Komunikasi dan Informatika,5/10/2000
http://******.my.id/f/2433033571,Generic/Spear Phishing,7/16/2024 5:27,100,178.218.221.40,******.my.id,my.id,phishing,PT Web Media Technology Indonesia,5/26/2024
http://login-bantuan-dana.***.my.id/,DANA,7/5/2024 19:14,100,,***.my.id,my.id,phishing,PT Web Media Technology Indonesia,12/30/2025
https://bkpsdm.*********.go.id/doflamingo/judi-roketslot/,-,8/2/2024 9:58,100,36.67.236.155,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/10/2000
https://***********.id/?naps,naver,7/29/2023 20:36,100,103.97.141.217,***********.id,id,phishing,PT Digital Registra Indonesia,3/19/2021
http://thp.****.ac.id/tag/detail/olahraga,-,8/3/2024 7:15,100,45.13.133.223,****.ac.id,ac.id,online gambling,PT Web Commerce Communications,3/14/2022
https://*********.id/,judi online,8/5/2024 11:02,100,172.67.204.42,*********.id,id,online gambling,PT Jagat Informasi Solusi (int),9/22/2023
https://sipp.*****************.go.id/system/core/apk/?ongoogle=raya88,-,8/3/2024 5:06,100,103.217.209.85,*****************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,11/9/2009
https://*************.go.id/rakor/.well-known/?tpu=SITUS+JUDI+CASINO+LIVE,-,8/3/2024 10:53,100,119.82.227.201,*************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,
https://********.id/tag/bonus-kasino/,judi online,8/6/2024 6:57,100,52.15.193.249,********.id,id,online gambling,PT Jagat Informasi Solusi (int),9/16/2025
https://csirt.****.go.id/portal/detil/z5ocRmdGKnl87wJY0ADx,-,8/4/2024 20:24,100,,****.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,4/23/2009
*******.id,,8/2/2024 4:00,100,66.29.146.161,*******.id,id,other,PT Jagat Informasi Solusi (int),12/29/2025
http://pedang-fun.*************.my.id/,Telegram,4/5/2024 4:23,100,,*************.my.id,my.id,phishing,PT Digital Registra Indonesia,7/27/2026
https://**********.id/1000/,Microsoft - Adobe Generic,7/20/2022 3:50,90,50.115.41.244,**********.id,id,phishing,PT Digital Registra Indonesia,12/16/2020
https://bappeda.**********.go.id/e-koor/storage/nenen/?listing=SLOT+GACOR+DEPOSIT+PULSA+TANPA+POTONGAN,-,8/4/2024 16:11,100,103.170.105.197,**********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,1/13/2012
http://perpus-ft.***.ac.id/index.php?p=show_detail&id=1241,-,8/3/2024 3:33,1000,139.99.90.119,***.ac.id,ac.id,online gambling,PT JC Indonesia,11/23/2012
https://*********.id/products/maxwin/urls.php?temp=57750558764,,3/19/2024 23:37,100,103.134.153.80,*********.id,id,phishing,PT Aksara Data Digital,11/17/2016
*********.id,,8/2/2024 4:00,100,,*********.id,id,other,PT Jagat Informasi Solusi (int),6/8/2026
https://*********.id/2023/10/,judi online,8/5/2024 11:04,100,104.21.22.98,*********.id,id,online gambling,PT Jagat Informasi Solusi (int),9/22/2023
***********.id,,8/2/2024 4:00,100,198.54.116.35,***********.id,id,other,PT Jagat Informasi Solusi (int),4/16/2024
https://prokopim.************.go.id/slgacor/,-,7/3/2024 2:47,100,103.213.116.248,************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,11/13/2007
https://layanan-offiicial-dana.********.biz.id/,DANA,5/29/2024 19:56,100,,********.biz.id,biz.id,phishing,PT JC Indonesia,12/3/2025
https://sipp.*****************.go.id/system/core/apk/?ongoogle=masterbet111,-,8/3/2024 5:07,100,103.217.209.85,*****************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,11/9/2009
https://data.************.go.id/tr/user/2ff1j2nrft,-,8/4/2024 17:05,100,114.6.246.235,************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,10/17/2011
https://bandung.***.go.id/index.php?r=post/read&id=417,-,8/4/2024 20:09,100,103.154.81.154,***.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/10/2000
https://**********.id/?shop=agen-judi-slot-online-indonesia-situs-luar-negeri,-,8/2/2024 14:02,100,74.50.66.174,**********.id,id,online gambling,PT Jagat Informasi Solusi (int),11/17/2025
https://baitulmal.************.go.id/?MENYALAABANGKUH=slot+gacor+pulsa,judi online,8/5/2024 9:50,100,123.108.101.18,************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,3/5/2008
https://dkukm.*********.go.id/vina/?cirebon=PRAGAMATIC88,judi online,8/5/2024 17:20,100,103.115.19.17,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,4/27/2007
https://***.ponpes.id/?link=jam-gacor-slot-mahjong-ways-1,-,8/2/2024 23:09,100,157.245.192.142,***.ponpes.id,ponpes.id,online gambling,PT Registrasi Neva Angkasa,6/5/2024
https://sisumakerpublik.********************.go.id/public/svg/?google=starla138,-,8/4/2024 6:08,100,103.113.3.225,********************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,7/28/2009
https://panitera.***********.go.id/cuaks/?cr2=casino228,judi online,8/5/2024 21:09,100,103.251.44.248,***********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,2/25/2009
https://**************.id/page/2/?cid=52,-,8/4/2024 20:00,100,104.21.48.190,**************.id,id,online gambling,PT Jagat Informasi Solusi (int),7/20/2026
https://***.go.id/id/umum/38-dalam-negeri/37001-buka-munas-prssni-ke-16-ketua-kpi-minta-radio-adaptif-terhadap-perubahan?detail3=22423,-,8/4/2024 17:58,100,36.66.195.53,***.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,3/21/2006
https://************.id/killbot/saymon.php?userid=Ulf1QTd8 ,paypal,11/19/2020 0:21,50,192.64.113.199,************.id,id,phishing,PT Jagat Informasi Solusi (int),9/10/2022
https://*************.go.id/Raja/?link=SLOT+MALAYSIA+SLOT+BURMA,-,8/4/2024 0:32,100,,*************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,
https://bkppd.********.go.id/index.php/info/berita/502-rapat-koordinasi-persiapan-pelaksanaan-cat-potensi-dan-kompetensi-bagi-asn-di-lingkungan-pemerintah-kabupaten-grobogan-tahun-2024,-,8/3/2024 6:52,100,192.124.249.111,********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/10/2000
https://bpkad.********.go.id/data/temp/docs/?IGD=IMPIANBET,-,8/4/2024 11:18,100,45.64.96.108,********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,11/17/2006
https://dana-point-ramdhan2024.**********.my.id/,DANA,3/22/2024 18:52,100,104.21.83.38,**********.my.id,my.id,phishing,PT Registrasi Neva Angkasa,1/4/2026
http://fairplans.**********.go.id/images/?gamez=JUDI%20TEMBAK%20IKAN%20ARCADIA,-,8/2/2024 14:50,100,103.148.195.73,**********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,7/20/2008
https://putusan3.*************.go.id/search.html/?q=passwordnya,judi online,8/6/2024 0:51,100,103.16.79.44,*************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,2/16/2006
https://***********.desa.id/hotlatte/?shop=situs-judi-bola-tangkas-online,-,8/2/2024 13:41,100,84.247.151.111,***********.desa.id,desa.id,online gambling,Kementerian Komunikasi dan Informatika,9/4/2020
https://*******.id/pragmatic88-slot-demo-download-apk-pragmatic88/,-,8/2/2024 14:30,100,203.175.8.7,*******.id,id,online gambling,PT Digital Registra Indonesia,7/27/2026
https://***************.id/permainan-slot-demo-princes-nikmati-keseruan-bermain-tanpa-batas/,-,8/4/2024 10:39,100,104.21.35.230,***************.id,id,online gambling,PT Jagat Informasi Solusi (int),6/1/2024
https://media.*****.id/upload/files/2022/06,,3/22/2024 5:16,100,104.21.88.206,*****.id,id,malware,PT Jagat Informasi Solusi (int),10/11/2025
http://cpanel.*************.id/,apple,1/23/2020 20:53,100,,*************.id,id,phishing,PT Web Media Technology Indonesia,5/16/2025
https://20796355.*********.my.id/index.php,WhatsApp,4/24/2024 15:49,100,,*********.my.id,my.id,phishing,PT Registrasi Neva Angkasa,1/14/2026
http://apps.*******.id/,Generic/Spear Phishing,6/10/2024 5:02,100,139.59.216.224,*******.id,id,phishing,PT Jagoan Hosting Indonesia,12/15/2017
https://*************.go.id/Raja/?link=LINK+SLOT+GACOR+MUDAH+MENANG,-,8/4/2024 0:20,100,194.163.42.25,*************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,6/4/2009
https://prokopim.*******.go.id/tag/prokopim-belu/page/46/?date=2023-5-18&t=mini,-,8/3/2024 2:37,100,103.253.213.49,*******.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,4/28/2006
https://pencairan-giveawayy.*******.biz.id/,Generic/Spear Phishing,5/5/2024 16:28,100,,*******.biz.id,biz.id,phishing,PT Registrasi Nama Domain,1/14/2026
https://****************.go.id/slotmaxwins1986/?shop=akun-baru-dijamin-maxwin,-,8/3/2024 12:10,100,109.123.235.48,****************.go.id,go.id,other,Kementerian Komunikasi dan Informatika,7/9/2010
https://***********.id/mengoptimalkan-peluang-menang-di-bambuemas88/,judi online,8/6/2024 4:46,100,84.32.84.35,***********.id,id,online gambling,PT Jagat Informasi Solusi (int),12/29/2025
https://**********.id/2024/07/,judi online,8/6/2024 1:57,100,108.181.242.138,**********.id,id,online gambling,PT Jagat Informasi Solusi (int),1/6/2026
https://perpusda.****************.go.id/inlislite3/keanggotaan/?tunnel=selera123,judi online,8/6/2024 0:04,100,103.18.117.167,****************.go.id,go.id,online gambling,  KEMENTERIAN KOMUNIKASI DAN INFORMATIKA  ,7/8/2011
http://web.organisasi.**************.go.id/link/?web=JUDI%20SLOT%20DEPOSIT%20BANK%20BJB,-,8/2/2024 23:35,100,103.146.203.123,**************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/10/2000
https://www.******.id/desktop/slots/playngo,judi online,8/5/2024 12:33,100,172.67.147.90,******.id,id,online gambling,PT Jagat Informasi Solusi (int),11/10/2021
https://data.************.go.id/eu/user/activity/p4ecgqu82i,-,8/4/2024 17:08,100,114.6.246.235,************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,10/17/2011
https://bappeda.**********.go.id/e-koor/storage/nenen/?listing=5+REKOMENDASI+DAFTAR+SITUS+SLOT+ONLINE+TERBAIK+DAN+TERPERCAYA,-,8/4/2024 16:03,100,103.170.105.197,**********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,1/13/2012
https://kebonagung.**********.go.id/category/berita/,-,8/3/2024 17:10,100,103.138.10.22,**********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/30/2008
https://************.go.id/pustaka/repository,,7/23/2024 11:11,100,103.251.44.219,************.go.id,go.id,malware,Kementerian Komunikasi dan Informatika,6/9/2009
http://perpus-ft.***.ac.id/index.php?p=show_detail&id=1524,-,8/3/2024 3:26,100,139.99.90.119,***.ac.id,ac.id,online gambling,PT JC Indonesia,11/23/2012
https://***********.sch.id/wp-content/news/?slot=slot-demo-zeus-rupiah,-,8/3/2024 13:48,100,104.21.58.96,***********.sch.id,sch.id,online gambling,PT Digital Registra Indonesia,1/27/2026
https://**************.id/,-,8/4/2024 4:07,100,172.67.162.102,**************.id,id,online gambling,PT Jagat Informasi Solusi (int),6/1/2024
https://nlw28.******.ac.id/Slot-Deposit-1000/bo177-link-game-slot-terpercaya,-,8/3/2024 11:54,100,104.21.4.112,******.ac.id,ac.id,online gambling,PT Jagoan Hosting Indonesia,3/24/2024
http://*********.go.id/website/?link=SITUS%20SLOT%20DENGAN%20DANA,judi online,8/6/2024 8:03,100,156.67.209.110,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,3/1/2013
"https://***********.desa.id/?shop=daftar-situs-judi-slot-online-deposit-via-pulsa-10-ribu-mt777,com",-,8/2/2024 13:41,100,84.247.151.111,***********.desa.id,desa.id,online gambling,Kementerian Komunikasi dan Informatika,9/4/2020
https://www.sipp311.***********.go.id/?manyao=judi%20slot%20online%20jackpot%20terbesar%20deposit%20pulsa%20tanpa%20potongan,-,8/5/2024 5:26,100,103.180.162.165,***********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,6/16/2010
